#particle, x, y, area, density
330, 624, 108, 77, 145.99
331, 812, 108, 8, 161.00
332, 1055, 108, 99, 124.71
333, 1166, 108, 8, 154.25
334, 1249, 108, 49, 153.24
335, 1100, 109, 10, 153.80
336, 764, 110, 15, 160.60
337, 953, 110, 9, 159.44
338, 1118, 110, 20, 150.40
339, 988, 111, 10, 163.10
340, 33, 112, 15, 160.33
341, 131, 112, 29, 153.10
342, 256, 112, 15, 157.40
343, 418, 112, 36, 153.33
344, 479, 112, 17, 148.47
345, 1325, 112, 23, 164.04
346, 367, 113, 4, 156.00
347, 487, 113, 17, 149.29
348, 1175, 113, 15, 160.20
349, 1269, 113, 17, 155.65
350, 69, 114, 79, 153.42
351, 170, 114, 69, 153.86
352, 595, 114, 41, 155.61
353, 80, 115, 4, 152.00
354, 148, 115, 13, 154.54
355, 185, 115, 35, 153.94
356, 230, 115, 41, 140.93
357, 252, 115, 57, 150.44
358, 503, 115, 19, 147.16
359, 657, 115, 17, 150.29
360, 925, 115, 81, 157.14
361, 118, 116, 29, 157.07
362, 517, 116, 41, 142.15
363, 963, 116, 4, 152.25
364, 985, 116, 14, 159.50
365, 1274, 116, 46, 152.07
366, 582, 118, 67, 154.09
367, 1110, 118, 10, 153.40
368, 22, 119, 10, 162.90
369, 1208, 119, 4, 159.25
370, 222, 120, 67, 143.16
371, 350, 120, 30, 159.20
372, 134, 121, 11, 156.09
373, 264, 121, 68, 157.65
374, 442, 121, 18, 150.61
375, 603, 121, 33, 147.30
376, 812, 121, 20, 158.00
377, 849, 121, 35, 159.06
378, 963, 121, 8, 156.50
379, 1116, 121, 32, 148.12
380, 1333, 121, 56, 163.02
381, 108, 122, 4, 160.00
382, 361, 122, 43, 160.33
383, 526, 122, 91, 144.54
384, 998, 122, 6, 158.33
385, 1124, 122, 17, 154.88
386, 25, 123, 31, 157.32
387, 63, 123, 11, 152.64
388, 301, 123, 12, 165.83
389, 313, 123, 86, 159.38
390, 987, 123, 39, 153.74
391, 214, 125, 21, 156.76
392, 1058, 125, 88, 135.82
393, 598, 127, 4, 150.25
394, 79, 128, 82, 153.10
395, 1040, 128, 43, 146.19
396, 182, 129, 28, 157.07
397, 274, 129, 57, 158.19
398, 610, 129, 32, 154.91
399, 1010, 129, 60, 154.33
400, 1283, 129, 22, 162.23
401, 461, 130, 30, 142.73
402, 1101, 130, 4, 146.75
403, 144, 131, 39, 157.13
404, 335, 131, 13, 163.85
405, 633, 131, 26, 151.81
406, 688, 131, 30, 153.40
407, 843, 131, 15, 156.33
408, 1197, 131, 75, 151.73
409, 1247, 131, 15, 146.27
410, 363, 132, 55, 150.98
411, 443, 132, 15, 155.33
412, 592, 132, 4, 151.50
413, 835, 132, 15, 159.80
414, 997, 132, 8, 157.25
415, 1338, 132, 34, 167.82
416, 582, 133, 40, 155.18
417, 850, 133, 23, 153.30
418, 133, 134, 10, 161.50
419, 152, 134, 34, 160.71
420, 325, 134, 26, 157.31
421, 534, 134, 52, 136.02
422, 296, 135, 42, 165.02
423, 354, 135, 32, 160.03
424, 432, 135, 12, 155.08
425, 599, 135, 37, 151.68
426, 649, 135, 42, 149.10
427, 824, 135, 24, 154.62
428, 164, 136, 10, 154.40
429, 319, 136, 10, 160.30
430, 385, 136, 55, 158.82
431, 1290, 136, 66, 145.70
432, 178, 137, 19, 158.05
433, 217, 137, 72, 148.82
434, 640, 137, 45, 144.87
435, 11, 138, 53, 158.28
436, 1013, 138, 17, 156.35
437, 1212, 138, 33, 157.06
438, 204, 139, 10, 159.50
439, 440, 139, 4, 152.75
440, 731, 139, 19, 155.68
441, 423, 140, 10, 155.30
442, 744, 140, 6, 155.00
443, 751, 140, 4, 151.00
444, 132, 141, 12, 159.75
445, 588, 141, 50, 154.92
446, 369, 142, 10, 160.10
447, 394, 142, 13, 158.69
448, 801, 142, 17, 154.59
449, 815, 142, 28, 155.25
450, 251, 143, 42, 155.14
451, 788, 143, 38, 149.16
452, 834, 143, 4, 154.25
453, 184, 144, 4, 153.75
454, 807, 144, 64, 152.50
455, 969, 144, 30, 151.83
456, 1207, 144, 63, 151.98
457, 1338, 144, 35, 160.31
458, 76, 145, 13, 153.08
459, 111, 145, 59, 157.03
460, 464, 146, 51, 159.20
461, 493, 146, 40, 146.18
462, 611, 146, 17, 155.00
463, 470, 147, 4, 158.75
464, 542, 147, 24, 146.00
465, 560, 147, 24, 154.00
466, 124, 148, 4, 153.75
467, 334, 148, 100, 152.88
468, 384, 148, 34, 154.76
469, 477, 148, 14, 157.29
470, 518, 148, 20, 148.35
471, 781, 148, 4, 150.00
472, 1007, 148, 10, 154.50
473, 1047, 148, 12, 148.42
474, 10, 150, 28, 159.86
475, 17, 150, 4, 154.50
476, 93, 150, 4, 155.75
477, 963, 150, 24, 157.96
478, 594, 151, 20, 154.35
479, 924, 151, 22, 159.23
480, 929, 151, 4, 158.75
481, 1201, 151, 82, 151.73
482, 637, 152, 20, 155.75
483, 133, 153, 5, 154.80
484, 367, 153, 60, 153.60
485, 865, 153, 23, 161.57
486, 972, 153, 4, 154.00
487, 1114, 153, 8, 151.25
488, 29, 154, 58, 154.12
489, 601, 154, 59, 148.73
490, 617, 154, 4, 153.75
491, 1100, 154, 97, 148.29
492, 324, 155, 24, 158.12
493, 778, 155, 19, 152.16
494, 1044, 155, 4, 144.75
495, 348, 156, 59, 149.37
496, 358, 156, 15, 161.87
497, 801, 156, 20, 154.70
498, 943, 156, 28, 158.39
499, 1118, 156, 34, 147.44
500, 1140, 156, 24, 156.21
501, 194, 157, 22, 158.00
502, 248, 157, 22, 153.91
503, 256, 157, 81, 147.60
504, 449, 158, 21, 157.81
505, 543, 158, 10, 153.00
506, 179, 159, 20, 159.35
507, 204, 159, 40, 150.57
508, 492, 159, 17, 151.65
509, 627, 159, 25, 154.16
510, 81, 160, 22, 152.50
511, 272, 160, 45, 151.58
512, 819, 160, 76, 153.37
513, 103, 161, 15, 161.47
514, 470, 161, 34, 157.29
515, 806, 161, 78, 149.18
516, 186, 162, 23, 160.43
517, 517, 162, 31, 155.94
518, 613, 162, 13, 154.00
519, 577, 163, 26, 157.23
520, 366, 164, 26, 155.19
521, 781, 164, 56, 142.64
522, 194, 165, 91, 157.21
523, 155, 166, 23, 158.83
524, 454, 166, 10, 158.40
525, 42, 167, 60, 149.30
526, 910, 167, 15, 157.87
527, 283, 168, 4, 147.75
528, 294, 168, 20, 149.70
529, 508, 168, 25, 161.64
530, 600, 168, 23, 152.00
531, 888, 168, 38, 157.55
532, 1079, 168, 4, 151.25
533, 1207, 168, 17, 173.65
534, 273, 169, 47, 145.77
535, 103, 170, 27, 156.33
536, 216, 170, 30, 147.63
537, 416, 170, 13, 161.08
538, 123, 171, 17, 150.82
539, 1180, 171, 39, 160.23
540, 1081, 172, 17, 147.59
541, 699, 173, 11, 162.45
542, 782, 173, 37, 158.27
543, 1131, 173, 41, 153.17
544, 68, 174, 20, 150.80
545, 607, 174, 54, 153.20
546, 619, 174, 15, 156.80
547, 965, 174, 66, 154.36
548, 1189, 174, 80, 176.25
549, 1200, 174, 24, 178.71
550, 420, 175, 36, 152.58
551, 483, 175, 46, 156.63
552, 770, 175, 4, 150.00
553, 788, 175, 10, 157.40
554, 995, 175, 34, 144.24
555, 112, 176, 88, 146.35
556, 134, 176, 4, 149.25
